#    WDM      SN1      SN2      AGN
0.434592 0.850016 1.983747 2.940830
0.308044 2.991560 0.904048 0.294119
0.221499 0.284246 1.184934 1.159309
0.270643 2.784576 1.528631 1.647996
0.389831 0.422611 0.693235 0.404938
0.516503 1.503736 1.293072 2.002638
0.144099 0.565486 0.829535 0.514955
0.101350 3.921438 1.398266 0.465715
0.546893 0.300091 0.770801 1.911909
0.412456 1.056331 1.652884 0.643609
0.235915 0.804998 0.644138 2.535558
0.186631 1.971489 0.998964 3.606208
0.330537 0.596910 1.077404 0.885662
0.465098 2.123554 0.591060 1.301305
0.052198 0.400432 1.803841 0.334789
0.054987 3.600667 0.553709 1.854741
0.457719 0.326828 1.689706 0.477144
0.331318 1.156537 0.937024 2.571687
0.181261 0.735247 1.010686 0.631554
0.231054 1.810441 1.550529 0.898230
0.413746 0.650004 0.604199 3.538866
0.540024 2.325304 1.309793 0.324759
0.104649 0.365690 0.722091 1.333318
0.143350 1.274849 1.210436 2.867934
0.521842 0.923082 0.776588 0.737427
0.387010 3.267057 1.433001 1.182425
0.278054 0.260278 0.649812 0.290530
0.228400 2.563624 0.847420 0.412998
0.304713 0.459038 1.110806 1.627946
0.439421 1.641862 0.500749 0.502171
0.093564 0.517911 1.856973 2.060626
0.080196 1.519198 0.813180 0.299373
0.450359 0.547739 1.267470 1.215435
0.323952 2.759506 0.680401 0.985015
0.206475 0.435788 1.500459 3.840256
0.287374 3.021795 1.163102 2.820143
0.372216 0.275371 0.887317 0.685345
0.498491 1.372677 1.944482 1.709746
0.160971 0.876075 0.524346 0.434960
0.118071 2.151566 1.759694 0.550690
0.529271 0.386750 0.576643 2.236122
0.394434 1.948785 1.052593 0.380714
0.252781 0.617084 0.975877 1.484013
0.172014 1.069721 0.629255 1.089989
0.346310 0.777887 1.614829 0.264845
0.481016 3.876947 0.752004 3.145009
0.037180 0.310183 1.364052 0.800235
0.043525 1.129537 1.459081 0.449209
0.487039 0.752823 0.676413 1.770254
0.352463 3.367472 1.221409 0.649382
0.177974 0.349459 0.800449 2.665399
0.258867 2.270704 0.521935 3.708389
0.400713 0.374483 1.893581 0.953925
0.535166 1.692998 0.872317 1.286223
0.124287 0.695097 1.119223 0.315897
0.154820 3.190199 0.938822 0.825752
0.492529 0.266547 1.035061 3.254657
0.365873 1.192103 0.561691 0.251160
0.281349 0.987164 1.751152 1.030704
0.200579 1.603605 1.343263 1.434268
0.317738 0.530270 0.724369 0.368885
0.444271 2.397687 1.604680 2.364353
0.073919 0.490802 0.612160 0.580791
0.083524 2.706031 1.083803 1.409533
0.429191 0.444403 0.983032 0.342571
0.294609 1.426601 1.833693 3.420799
0.217979 0.583286 0.588166 0.870179
0.267759 1.345911 0.758508 0.599025
0.377032 0.893491 1.406570 2.431388
0.511483 2.837250 0.640984 0.492278
0.133181 0.293285 1.680238 1.919719
0.114751 1.910710 0.704471 2.180996
0.550447 0.629380 1.519605 0.529802
0.423785 2.020075 0.833617 1.571771
0.241286 0.411926 1.272020 0.400032
0.191621 3.801968 1.972034 0.275240
0.341485 0.316301 0.543559 1.117729
0.468015 1.004565 1.165643 0.761719
0.064963 0.828336 0.908496 2.968909
0.065568 3.816708 1.006081 2.076550
0.468557 0.315078 0.932420 0.509921
0.341899 1.006078 1.683681 1.633054
0.192099 0.827096 0.551933 0.420153
0.240871 1.898184 0.719536 0.285970
0.423307 0.633536 1.305571 1.173954
0.549841 2.000720 0.601437 0.725237
0.114210 0.415908 1.542951 2.857512
0.132766 1.347480 0.650364 1.342943
0.511005 0.892455 1.433702 0.329939
0.376427 2.849210 0.778021 3.551761
0.267218 0.292052 1.213105 0.913326
0.218584 2.681015 1.860447 0.621954
0.295150 0.448548 0.501845 2.551961
0.429606 1.416771 1.111731 0.469019
0.084002 0.587337 0.847857 1.848944
0.073441 1.601670 1.493109 0.795307
0.443856 0.530909 0.677313 3.100876
0.317196 2.387521 1.263425 0.263615
0.199973 0.492895 0.810294 1.070160
0.281891 3.220104 0.522659 1.505390
0.366479 0.264073 1.937609 0.383008
0.493007 1.200425 0.882984 2.277168
0.155234 0.980314 1.157791 0.553352
0.124829 2.261839 0.976370 0.432356
0.535772 0.375952 1.053503 1.685473
0.401191 1.690380 0.577924 0.682046
0.259282 0.696169 1.762968 2.769301
0.177496 1.137039 1.367045 3.894904
0.352048 0.747853 0.753416 0.991116
0.486497 3.400193 1.615670 1.237958
0.042919 0.346098 0.629782 0.300770
0.036766 1.077187 0.796798 0.571769
0.480538 0.772490 1.215453 2.347012
0.345704 3.913292 0.674025 0.362726
0.171472 0.307303 1.454394 1.429302
0.253387 2.142445 1.115244 1.038496
0.394976 0.388399 0.869528 0.255079
0.529686 1.946432 1.884975 3.265412
0.118549 0.617828 0.519375 0.839915
0.161577 3.051159 1.752630 0.311043
0.499033 0.272723 0.561986 1.276576
0.372630 1.381792 1.037009 0.937838
0.287852 0.870292 0.940886 3.696163
0.206061 1.516848 0.613296 2.685088
0.323474 0.548584 1.608236 0.659626
0.449753 2.748735 0.724991 1.776409
0.079654 0.437497 1.343935 0.456838
0.094106 2.539059 0.585288 3.012177
0.440027 0.463476 1.825301 0.766177
0.305191 1.631100 0.979858 1.138056
